from,to,distance_km,predicted_flow,estimated_speed_kmh,travel_time_sec
2545,38,0.03,800,53.86,32.03
2545,2585,0.031,800,53.86,32.07
2550,32542,0.018,800,53.86,31.21
2550,32567,0.231,800,53.86,45.44
2552,40129,0.021,800,53.86,31.39
2552,18593,0.09,800,53.86,35.99
2555,44290,0.013,800,53.86,30.87
2555,7574,0.028,800,53.86,31.84
2559,40644,0.029,800,53.86,31.94
2559,39751,0.043,800,53.86,32.88
2563,35521,0.023,800,53.86,31.52
2563,27214,0.036,800,53.86,32.4
2567,57570,0.004,800,53.86,30.26
2567,36798,0.025,800,53.86,31.68
2571,8960,0.005,800,53.86,30.3
2571,8604,0.005,800,53.86,30.3
2575,3635,0.019,800,53.86,31.25
2575,54203,0.11,800,53.86,37.35
2581,24914,0.023,800,53.86,31.54
2581,50104,0.023,800,53.86,31.54
2584,31856,0.016,800,53.86,31.08
2584,53331,0.108,800,53.86,37.22
2585,34246,0.003,800,53.86,30.22
2585,2545,0.031,800,53.86,32.07
2586,35629,0.028,800,53.86,31.88
2586,40874,0.096,800,53.86,36.41
2588,44686,0.038,800,53.86,32.53
2588,37900,0.031,800,53.86,32.09
2592,34689,0.004,800,53.86,30.26
2592,32006,0.018,800,53.86,31.18
2593,36224,0.005,800,53.86,30.33
2593,3898,0.235,800,53.86,45.68
2604,36908,0.032,800,53.86,32.14
2604,37769,0.036,800,53.86,32.39
2614,21769,0.004,800,53.86,30.25
2614,9768,0.013,800,53.86,30.9
2619,39898,0.004,800,53.86,30.25
2619,3685,0.019,800,53.86,31.3
2622,35620,0.048,800,53.86,33.19
2622,38830,0.115,800,53.86,37.66
2627,35632,0.017,800,53.86,31.14
2627,45811,0.044,800,53.86,32.97
2631,36881,0.068,800,53.86,34.55
2631,38554,0.079,800,53.86,35.29
2636,4629,0.028,800,53.86,31.87
2636,54396,0.04,800,53.86,32.66
2638,33946,0.013,800,53.86,30.88
2638,37753,0.013,800,53.86,30.88
2642,34227,0.006,800,53.86,30.4
2642,16600,0.006,800,53.86,30.43
2643,16814,0.044,800,53.86,32.93
2643,13730,0.115,800,53.86,37.67
2645,49792,0.004,800,53.86,30.3
2645,52449,0.004,800,53.86,30.3
2652,38986,0.001,800,53.86,30.1
2652,40166,0.011,800,53.86,30.73
2658,38554,0.022,800,53.86,31.45
2658,35202,0.045,800,53.86,32.99
2661,2321,0.042,800,53.86,32.79
2661,19227,0.063,800,53.86,34.19
2668,38960,0.001,800,53.86,30.04
2668,5586,0.001,800,53.86,30.04
2671,10343,0.02,800,53.86,31.35
2671,35528,0.039,800,53.86,32.59
2675,55328,0.021,800,53.86,31.41
2675,56467,0.021,800,53.86,31.41
2676,36878,0.027,800,53.86,31.77
2676,31975,0.053,800,53.86,33.57
2680,13068,0.004,800,53.86,30.24
2680,41037,0.105,800,53.86,37.01
2681,36633,0.016,800,53.86,31.06
2681,56532,0.117,800,53.86,37.84
2690,40120,0.0,800,53.86,30.0
2690,45409,0.001,800,53.86,30.09
2693,34965,0.035,800,53.86,32.34
2693,29156,0.172,800,53.86,41.47
2702,8245,0.015,800,53.86,31.01
2702,10164,0.018,800,53.86,31.22
2707,4843,0.001,800,53.86,30.05
2707,20404,0.14,800,53.86,39.33
2713,48394,0.015,800,53.86,30.99
2713,17522,0.037,800,53.86,32.44
2714,49690,0.009,800,53.86,30.63
2714,33705,0.018,800,53.86,31.2
2719,40955,0.015,800,53.86,31.0
2719,22997,0.058,800,53.86,33.9
2723,2723,0.0,800,53.86,30.0
2723,51244,0.0,800,53.86,30.0
2724,35597,0.0,800,53.86,30.01
2724,33729,0.015,800,53.86,31.0
2727,2742,0.035,800,53.86,32.35
2727,37639,0.094,800,53.86,36.3
2733,54741,0.006,800,53.86,30.42
2733,38387,0.006,800,53.86,30.42
2736,40864,0.038,800,53.86,32.55
2736,37241,0.161,800,53.86,40.79
2737,21421,0.0,800,53.86,30.02
2737,36195,0.017,800,53.86,31.14
2742,2727,0.035,800,53.86,32.35
2742,37639,0.059,800,53.86,33.95
2749,36679,0.031,800,53.86,32.07
2749,46268,0.039,800,53.86,32.58
2754,9424,0.001,800,53.86,30.06
2754,36021,0.02,800,53.86,31.34
2763,36666,0.022,800,53.86,31.48
2763,48569,0.056,800,53.86,33.72
2765,51403,0.026,800,53.86,31.71
2765,1607,0.026,800,53.86,31.71
2777,36121,0.016,800,53.86,31.05
2777,34810,0.02,800,53.86,31.34
2780,38536,0.016,800,53.86,31.07
2780,39990,0.028,800,53.86,31.85
2783,48635,0.169,800,53.86,41.26
2783,17321,0.205,800,53.86,43.72
2790,45882,0.001,800,53.86,30.04
2790,21918,0.002,800,53.86,30.11
2792,24690,0.004,800,53.86,30.28
2792,52457,0.032,800,53.86,32.14
2798,2156,0.001,800,53.86,30.05
2798,14647,0.014,800,53.86,30.93
2807,10638,0.009,800,53.86,30.62
2807,19951,0.102,800,53.86,36.81
2817,37709,0.012,800,53.86,30.79
2817,10678,0.022,800,53.86,31.45
2822,2822,0.0,800,53.86,30.0
2822,32525,0.093,800,53.86,36.21
2833,12695,0.006,800,53.86,30.43
2833,45413,0.056,800,53.86,33.74
2848,43081,0.119,800,53.86,37.97
2848,35202,0.138,800,53.86,39.21
2857,11435,0.003,800,53.86,30.23
2857,2538,0.013,800,53.86,30.88
2859,39743,0.015,800,53.86,30.98
2859,36624,0.222,800,53.86,44.86
2874,36954,0.043,800,53.86,32.89
2874,38019,0.083,800,53.86,35.52
2886,45217,0.013,800,53.86,30.87
2886,7505,0.043,800,53.86,32.86
